entity_id,dailyEnergyConsumed,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.922857143,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.922857143,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.590555556,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.04437037,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.703378378,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,1.07625,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.703378378,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.295767606,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.314117284,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.093827586,2024-01-07T07:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.134428571,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.134428571,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.922857143,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.856202381,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.856202381,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.04437037,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.652735955,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.652735955,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,1.269354167,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.751536585,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.751536585,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.703378378,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.071333333,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.071333333,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.314117284,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.477151832,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.134428571,2024-01-07T18:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.174733333,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.174733333,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.856202381,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.148088235,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.148088235,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.652735955,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.985602837,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.985602837,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,1.461217391,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.921189189,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.921189189,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.477151832,2024-01-08T05:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.553082278,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.553082278,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.298583333,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.298583333,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.148088235,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.1268375,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.1268375,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.985602837,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.784606742,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.784606742,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,1.655479167,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.24403125,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.24403125,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.084,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.553082278,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.540809524,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.298583333,2024-01-08T17:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.160479167,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.160479167,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.1268375,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.727225806,2024-01-09T16:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,1.727225806,2024-01-09T16:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.784606742,2024-01-09T04:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,1.250062069,2024-01-09T16:00:00.000Z,KWH
