entity_id,apparentPower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,82.5,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,82.5,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,72.95,2024-01-09T16:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T16:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.789115646,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.789115646,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.625,2024-01-09T16:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,395.2,2024-01-08T05:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,42.706422018,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,42.706422018,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,48.074468085,2024-01-09T16:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,63.385964912,2024-01-09T04:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,63.385964912,2024-01-09T04:36:00.000Z,VA
